ticker,price
BOAC.WS,0.135
BOC,26.82
BOCN,10.14
BODY,0.893
BODY.WS,0.1
BOH,80.94
BOH-PA,17.99
BOKF,104.77
BOLT,1.28
BON,1.12
BOOM,20.41
BOOT,62.54
BORR,5.07
BOSC,2.32
BOTJ,11.97
BOWL,13.64
BOX,29.04
BOXD,0.605
BOXD.WS,0.055
BOXL,0.494
BP,33.91
BPAC,10.17
BPACW,0.018
BPMC,43.63
BPOP,72.67
BPRN,31.86
BPTH,1.53
BPTS,0.453
BPYPM,15.79
BPYPN,14.81
BPYPO,16.22
BPYPP,16.76
BQ,1.27
BR,142.6
BRAC,10.05
BRACU,10.13
BRAG,3.12
BRBR,24.76
BRBS,13.22
BRC,48.42
BRCC,6.35
BRD.U,10.07
BRDG,15.02
BRDS,0.294
BRDS.WS,0.034
BREZ,10.37
BREZR,0.18
BREZW,0.078
BRFH,1.583
BRFS,2.14
BRID,11.4
BRIVW,0.094
BRK.A,468232.75
BRK.B,309.98
BRKH,10.05
BRKL,13.82
BRKR,68.86
BRLI,10.62
BRLIR,0.23
BRLT,6.31
BRMK,5.11
BRMK.WS,0.03
BRN,3.2
BRO,55.8
BROG,7.82
BROS,33.87
BRP,27.59
BRQS,0.524
BRSH,0.75
BRSHW,0.32
BRSP,7.22
BRT,20.46
BRTX,2.94
BRX,22.42
BRY,9.1
BRZE,28.22
BSAC,15.11
BSAQ,9.92
BSBK,11.23
BSBR,5.32
BSET,18.61
BSFC,0.84
BSGA,10.35
BSGAR,0.15
BSGAU,10.12
BSGM,0.44
BSIG,25.63
BSKY,9.87
BSKYU,9.9
BSM,12.15
BSMX,6.1
BSQR,1.06
BSRR,21.46
BSVN,25.9
BSX,42.42
BSX-PA,107.72
BSY,39.93
BTAI,16.1
BTB,0.168
BTBD,2.0
BTBT,1.21
BTCM,0.246
BTCS,3.7308
BTCY,1.02
BTG,3.45
BTI,38.5
BTMD,3.97
BTMDW,0.28
BTN,2.36
BTOG,0.21
BTRS,9.47
BTTR,0.921
BTTX,1.44
BTU,21.96
BTWN,9.84
BTWNU,9.87
BTWNW,0.155
BUD,54.75
BUR,8.83
BURL,156.63
BUSE,26.82
BV,9.13
BVH,21.16
BVN,8.11
BVS,3.28
BVXV,0.951
BW,5.21
BW-PA,16.27
BWA,42.79
BWAC,10.39
BWACW,0.011
BWAY,3.2
BWB,19.07
BWBBP,20.1
BWC,9.74
BWCAU,9.3
BWCAW,0.242
BWEN,1.83
BWFG,30.28
BWMN,18.25
BWMX,7.25
BWV,1.35
BWXT,59.51
BX,97.61
BXC,69.37
BXMT,25.12
BXP,74.39
BXRX,0.165
BXSL,24.32
BY,22.87
BYD,60.27
BYFC,1.05
BYN,10.09
BYN.WS,0.03
BYND,46.08
BYNO,10.11
BYNOW,0.05
BYRN,10.01
BYSI,0.73
BYTS,10.0
BZ,17.19
BZFD,1.705
BZFDW,0.08
BZH,12.59
BZUN,4.4
C,49.03
C-PJ,25.14
C-PK,24.83
C-PN,28.36
CAAP,8.28
CAAS,4.16
CABA,3.57
CABO,720.05
CAC,43.44
CACC,495.75
CACI,289.73
CADE,28.77
CADE-PA,20.84
CADL,1.81
CAE,21.96
CAG,34.38
CAH,74.32
CAJ,22.43
CAKE,36.82
CAL,27.33
CALA,2.38
CALB,23.02
CALM,53.61
CALT,16.5
CALX,67.07
CAMP,3.74
CAMT,25.7
CAN,3.14
CANF,0.83
CANG,2.5
CANO,2.1
CANO.WS,0.525
CAPL,20.32
CAPR,4.085
CAR,236.98
CARA,11.33
CARE,18.36
CARG,14.54
CARR,44.35
CARS,14.8
CARV,4.27
CASA,2.85
CASH,44.18
CASI,1.95
CASS,43.37
CASY,236.41
CAT,234.59
CATC,90.0
CATO,11.61
CATY,46.08
CB,206.63
CBAN,13.75
CBAT,1.24
CBAY,3.67
CBD,3.89
CBFV,21.975
CBIO,0.555
CBL,29.1
CBNK,23.88
CBRE,75.56
CBRGU,10.2
CBRGW,0.1
CBRL,117.11
CBSH,72.5
CBT,72.75
CBU,65.38
CBZ,47.87
CC,29.18
CCAI,9.92
CCAIU,9.94
CCAIW,0.15
CCAP,14.12
CCB,48.68
CCBG,35.52
CCCC,9.72
CCCS,9.14
CCEL,4.93
CCEP,51.44
CCF,99.0
CCI,136.0
CCJ,24.75
CCK,78.41
CCL,11.16
CCLP,1.321
CCM,1.6
CCNC,2.8
CCNE,25.5
CCNEP,25.99
CCO,1.33
CCOI,57.23
CCRD,27.84
CCRN,33.19
CCS,47.63
CCSI,62.04
CCTS,10.16
CCTSU,10.17
CCU,11.37
CCV,10.01
CCV.U,10.016
CCV.WS,0.034
CCVI,9.95
CCVI.U,9.95
CCVI.WS,0.054
CD,7.11
CDAK,5.69
CDAQ,9.86
CDAY,72.68
CDE,3.54
CDIO,1.978
CDLX,5.16
CDMO,15.64
CDNA,13.81
CDNS,168.74
CDR-PB,10.42
CDR-PC,9.551
CDRE,25.3
CDRO,2.73
CDROW,0.2
CDTX,0.625
CDW,184.83
CDXC,1.77
CDXS,6.8
CDZI,2.28
CDZIP,11.81
CE,102.8
CEA,18.43
CEAD,0.983
CEADW,0.175
CECO,11.21
CEG,93.5
CEI,0.14
CEIX,63.32
CELC,10.0
CELG.R,0.137
CELH,98.37
CELU,1.98
CELUW,0.23
CELZ,0.398
CEMI,0.28
CENN,0.912
CENQU,10.16
CENQW,0.18
CENT,44.37
CENTA,41.98
CENX,9.17
CEPU,4.72
CEQP,29.28
CEQP-P,9.1
CERE,29.35
CERS,4.04
CERT,15.58
CETX,0.247
CETXP,0.722
CEVA,29.03
CF,106.91
CFB,13.53
CFBK,23.41
