SYY,922.0
TAK,873.0
TAL,674.5
TARO,513.5
TAST,233.5
TATT,136.0
TAYD,233.5
TBLA,412.0
TCOM,861.0
TCS,288.0
TDCX,584.5
TDY,881.0
TEAM,922.0
TECH,832.0
TECK,846.0
TESS,136.0
TFII,790.5
TGB,412.0
TGH,544.0
TGT,922.0
THO,717.0
THR,412.0
TIGO,611.0
TIGR,412.0
TILE,412.0
TITN,412.0
TIXT,731.0
TJX,922.0
TLRY,592.0
TLYS,412.0
TM,878.0
TME,833.0
TPR,784.0
TRI,922.0
TRKA,80.5
TRMB,842.0
TRMD,611.0
TRMR,412.0
TRNS,412.0
TRT,233.5
TRVG,412.0
TSEM,749.0
TSM,873.0
TSN,884.0
TSRI,68.0
TTWO,859.0
TUEM,80.5
TUYA,303.0
TWIN,233.5
TXT,835.5
UAMY,136.0
UCL,51.0
UEC,539.0
UFI,233.5
UHAL,959.0
ULTA,884.0
UMC,839.5
UNAM,233.5
UNF,666.0
UNFI,637.0
UPXI,233.5
URBN,611.0
UROY,294.0
USAS,136.0
USAU,136.0
USFD,772.5
USNA,496.0
UUU,233.5
UVV,533.5
VALU,412.0
VBNK,233.5
VEEV,922.0
VFC,827.5
VIAV,598.0
VINP,412.0
VIOT,47.0
VIPS,744.0
VIRC,136.0
VIST,524.0
VLGEA,412.0
VMAR,136.0
VNCE,136.0
VOXX,412.0
VQS,1.0
VRA,233.5
VRNT,630.0
VS,14.0
VSAT,638.5
VSCO,678.0
VSTA,327.5
VSTO,557.5
VTGN,56.0
VTOL,412.0
VTRU,412.0
VWE,80.5
WB,677.0
WBA,922.0
WDAY,922.0
WDC,827.5
WDFC,611.0
WDH,327.5
WEN,707.0
WFG,772.5
WGO,567.0
WIT,873.0
WKME,327.5
WLDN,23.5
WLY,630.0
WMPN,233.5
WMS,755.0
WMT,922.0
WNS,696.0
WOLF,817.0
WOOF,666.0
WOR,643.0
WPM,851.5
WRLD,412.0
WSM,790.5
WTER,80.5
WWW,291.0
XAIR,136.0
XNET,233.5
XOS,41.0
XP,814.0
XPEV,739.0
XYF,15.0
YALA,412.0
YETI,683.5
YEXT,327.5
YJ,233.5
YMM,776.0
YSG,303.0
YTRA,233.5
YY,611.0
ZDGE,233.5
ZEPP,21.0
ZEST,63.5
ZH,327.5
ZM,879.0
ZS,867.0
ZTO,837.0
ZUMZ,412.0
ZUO,503.5
